 ,Dec-00,2000,Dec-01,2001,Dec-02,2002,Dec-03,2003,Dec-04,2004,Dec-05,2005,Dec-06,2006,Dec-07,2007,Dec-08,2008,Dec-09,2009,Dec-10,2010,Dec-11,2011,Dec-12,2012,Dec-13,2013,Dec-14,2014,Dec-15,2015,Dec-16,2016,Dec-17,2017,Dec-18,2018,Dec-19,2019,Dec-20,2020,Dec-21,2021,Dec-22,2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LGA,Affordable,Percent,Affordable,Percent,Affordable,Percent,Affordable,Percent,Affordable,Percent,Affordable,Percent,Affordable,Percent,Affordable,Percent,Affordable,Percent,Affordable,Percent,Affordable,Percent,Affordable,Percent,Affordable,Percent,Affordable,Percent,Affordable,Percent,Affordable,Percent,Affordable,Percent,Affordable,Percent,Affordable,Percent,Affordable,Percent,Affordable,Percent,Affordable,Percent,Affordable,Percent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alpine,72,97.30%,66,98.50%,73,94.80%,69,97.20%,70,97.20%,73,92.40%,70,88.60%,73,85.90%,76,83.50%,70,80.50%,82,83.70%,73,82.00%,70,80.50%,72,75.80%,78,83.00%,75,81.50%,65,67.70%,44,57.90%,32,50.80%,37,52.90%,20,27.40%,20,27.80%,14,19.40%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ararat,63,100.00%,45,100.00%,48,98.00%,54,100.00%,55,91.70%,40,93.00%,44,100.00%,43,95.60%,50,94.30%,64,97.00%,53,89.80%,49,76.60%,71,85.50%,59,89.40%,60,81.10%,71,74.00%,58,90.60%,82,82.00%,50,69.40%,58,71.60%,47,61.00%,40,66.70%,33,64.70%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ballarat,586,82.20%,566,80.60%,573,76.60%,591,75.10%,554,70.60%,586,78.00%,535,74.10%,611,76.30%,596,70.60%,581,65.60%,556,58.50%,526,53.80%,595,55.10%,631,59.60%,760,66.00%,766,64.90%,662,60.80%,623,58.00%,506,49.70%,508,47.40%,447,43.80%,471,43.90%,488,48.30%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Banyule,74,11.90%,126,18.90%,125,19.20%,144,20.70%,141,21.00%,117,18.60%,99,17.60%,52,7.60%,32,4.90%,24,2.90%,19,2.20%,30,3.30%,36,4.00%,45,4.80%,45,4.60%,36,3.50%,35,3.20%,27,2.40%,16,1.50%,23,2.10%,23,2.20%,35,3.00%,30,2.80%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bass Coast,124,91.90%,175,95.10%,189,92.20%,188,92.60%,205,91.10%,205,88.70%,197,87.20%,209,88.60%,206,83.10%,208,59.40%,107,33.30%,132,34.40%,264,65.70%,250,68.30%,198,69.20%,227,68.60%,152,56.70%,123,47.90%,91,38.60%,81,34.50%,71,29.00%,33,15.80%,23,11.30%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Baw Baw,147,93.00%,130,90.90%,143,89.40%,172,86.90%,160,87.90%,149,86.10%,193,91.50%,189,92.20%,170,79.80%,187,77.60%,160,69.00%,139,59.40%,179,69.40%,197,69.10%,241,74.60%,199,61.40%,185,61.90%,133,46.50%,104,34.10%,132,41.50%,69,24.00%,60,22.80%,44,14.70%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bayside,18,3.30%,24,4.00%,11,1.90%,16,3.00%,18,3.10%,20,3.60%,5,1.20%,7,1.30%,4,0.70%,3,0.50%,5,0.80%,4,0.60%,2,0.30%,7,0.90%,7,0.90%,8,1.00%,3,0.40%,2,0.30%,1,0.10%,6,0.70%,2,0.20%,4,0.50%,0,0.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Benalla,89,91.80%,90,94.70%,75,89.30%,72,86.70%,64,85.30%,64,83.10%,76,86.40%,78,88.60%,82,89.10%,87,83.70%,85,85.00%,89,84.00%,90,85.70%,89,79.50%,100,85.50%,89,84.80%,92,89.30%,84,86.60%,60,70.60%,58,56.30%,30,34.90%,14,19.20%,15,17.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Boroondara,31,2.10%,50,3.50%,35,2.60%,35,2.50%,14,1.10%,27,2.20%,26,2.20%,8,0.70%,7,0.50%,12,0.80%,10,0.70%,13,0.80%,7,0.40%,19,1.10%,12,0.70%,12,0.60%,8,0.40%,9,0.50%,12,0.70%,15,0.80%,13,0.70%,30,1.50%,14,0.80%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brimbank,510,66.20%,589,73.20%,591,73.90%,663,80.80%,633,75.00%,658,78.90%,590,80.50%,467,58.50%,373,41.40%,394,36.70%,301,26.30%,351,30.10%,450,34.80%,314,27.10%,378,31.20%,334,26.00%,224,19.10%,190,15.70%,136,11.80%,139,11.40%,181,16.70%,386,30.00%,349,30.10%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Buloke,7,100.00%,12,100.00%,8,100.00%,12,100.00%,9,100.00%,2,100.00%,8,100.00%,6,100.00%,14,100.00%,12,92.30%,18,100.00%,13,100.00%,12,100.00%,12,92.30%,16,94.10%,10,90.90%,17,100.00%,22,95.70%,13,92.90%,15,100.00%,13,92.90%,6,75.00%,10,83.30%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Campaspe,165,75.00%,194,91.50%,148,76.30%,173,79.70%,189,77.50%,166,80.60%,186,84.50%,177,83.10%,211,83.10%,184,80.70%,187,78.90%,150,78.10%,183,80.60%,154,71.60%,164,72.20%,141,62.90%,113,56.20%,128,65.30%,103,59.90%,126,61.20%,106,52.20%,66,45.80%,42,32.30%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cardinia,135,73.80%,159,82.40%,177,84.30%,228,82.30%,226,81.90%,201,82.70%,273,81.30%,215,70.50%,221,51.80%,224,48.80%,148,30.60%,197,35.20%,269,43.50%,248,41.10%,258,46.10%,215,36.50%,179,28.70%,204,28.10%,191,25.50%,209,26.40%,208,29.80%,137,21.60%,111,16.30%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Casey,475,59.10%,650,73.40%,738,74.80%,903,79.20%,841,78.40%,739,74.70%,670,71.60%,626,58.00%,402,38.40%,307,27.80%,180,14.20%,244,18.80%,318,23.40%,267,19.30%,398,25.60%,258,16.10%,239,13.70%,242,12.60%,287,14.10%,449,21.30%,264,15.10%,275,14.40%,202,10.50%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Central Goldfields,49,100.00%,53,98.10%,42,95.50%,66,100.00%,63,94.00%,47,100.00%,63,98.40%,61,100.00%,64,98.50%,74,100.00%,65,94.20%,56,87.50%,61,89.70%,46,90.20%,71,95.90%,71,93.40%,69,98.60%,63,88.70%,46,73.00%,58,92.10%,36,70.60%,41,75.90%,32,69.60%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Colac-Otway,71,97.30%,72,96.00%,95,91.30%,93,84.50%,96,91.40%,67,79.80%,91,91.90%,77,78.60%,103,84.40%,85,73.90%,86,69.40%,100,75.80%,84,66.70%,96,64.40%,102,72.30%,94,62.30%,102,70.30%,72,58.50%,53,53.00%,55,45.80%,47,41.20%,23,21.70%,18,20.90%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Corangamite,32,100.00%,41,97.60%,41,97.60%,46,97.90%,57,86.40%,47,73.40%,53,68.80%,64,91.40%,55,83.30%,66,75.90%,61,88.40%,49,69.00%,45,78.90%,69,94.50%,54,88.50%,63,84.00%,59,88.10%,47,83.90%,56,91.80%,42,67.70%,34,63.00%,28,50.00%,25,50.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Darebin,295,24.40%,297,25.30%,290,24.70%,335,28.90%,315,25.20%,293,27.40%,232,21.90%,124,11.80%,58,5.00%,47,3.80%,48,3.50%,53,4.00%,60,4.10%,50,3.40%,75,5.00%,48,2.90%,53,3.30%,22,1.40%,23,1.50%,26,1.70%,36,2.10%,65,3.60%,60,3.50%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
East Gippsland,217,95.60%,201,97.10%,217,96.40%,210,88.60%,183,81.30%,212,84.50%,224,84.80%,217,84.10%,228,82.00%,205,74.80%,168,71.80%,215,72.60%,203,69.50%,245,73.60%,238,73.20%,229,69.20%,210,70.70%,227,70.50%,160,63.20%,158,56.40%,94,44.80%,65,31.00%,42,19.40%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Frankston,502,68.60%,595,75.60%,664,73.00%,683,73.80%,623,72.00%,672,74.50%,612,68.80%,523,55.50%,395,41.80%,284,28.30%,154,15.50%,241,21.60%,228,20.40%,245,20.30%,300,25.40%,174,15.90%,121,11.00%,105,9.10%,79,7.10%,80,7.10%,59,6.30%,45,5.20%,48,5.70%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gannawarra,45,100.00%,39,100.00%,43,100.00%,51,96.20%,44,100.00%,48,98.00%,40,100.00%,52,98.10%,55,98.20%,47,97.90%,56,100.00%,53,94.60%,37,94.90%,56,94.90%,52,98.10%,48,96.00%,40,97.60%,59,95.20%,51,94.40%,52,96.30%,40,95.20%,29,93.50%,21,87.50%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Glen Eira,50,3.80%,77,6.10%,58,4.40%,59,4.70%,45,3.50%,47,4.10%,37,3.10%,20,1.60%,16,1.30%,23,1.60%,13,0.90%,19,1.20%,18,1.00%,19,1.10%,33,1.80%,23,1.30%,23,1.20%,8,0.40%,16,0.80%,19,0.90%,18,0.90%,46,2.00%,12,0.60%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Glenelg,125,98.40%,84,93.30%,111,97.40%,105,90.50%,81,92.00%,100,96.20%,68,70.80%,84,83.20%,106,84.10%,94,85.50%,102,81.60%,116,85.30%,77,76.20%,103,85.80%,114,86.40%,98,92.50%,105,86.80%,92,89.30%,82,79.60%,61,64.90%,35,43.80%,37,42.50%,25,28.40%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Golden Plains,18,90.00%,14,100.00%,12,92.30%,22,88.00%,20,87.00%,25,96.20%,30,88.20%,29,82.90%,16,59.30%,22,84.60%,19,55.90%,14,35.00%,14,35.90%,11,24.40%,13,36.10%,23,52.30%,14,41.20%,13,35.10%,4,16.70%,10,30.30%,8,14.00%,14,31.10%,18,34.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Greater Bendigo,526,82.60%,545,88.30%,474,77.60%,542,75.60%,495,68.70%,544,74.00%,502,70.80%,538,73.20%,612,73.30%,491,63.80%,414,53.00%,392,46.90%,433,47.60%,518,51.00%,678,64.80%,655,63.30%,602,60.40%,578,60.90%,426,51.30%,368,42.90%,276,37.00%,185,23.90%,163,22.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Greater Dandenong,709,76.80%,755,80.80%,671,77.20%,670,78.90%,648,76.50%,590,75.60%,536,72.10%,363,52.90%,216,26.40%,128,13.50%,115,11.10%,159,14.50%,150,12.80%,132,11.90%,175,14.80%,136,10.10%,113,8.40%,100,7.80%,83,6.50%,107,7.60%,101,8.30%,162,12.10%,97,8.50%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
