LGA,Affordable,Decimal,Percentages
Alpine,14,0.19,19.4
Ararat,33,0.65,64.7
Ballarat,488,0.48,48.3
Banyule,30,0.03,2.8
Bass Coast,23,0.11,11.3
Baw Baw,44,0.15,14.7
Bayside,0,0.00,0
Benalla,15,0.17,17
Boroondara,14,0.01,0.8
Brimbank,349,0.30,30.1
Buloke,10,0.83,83.3
Campaspe,42,0.32,32.3
Cardinia,111,0.16,16.3
Casey,202,0.11,10.5
Central Goldfields,32,0.70,69.6
Colac-Otway,18,0.21,20.9
Corangamite,25,0.50,50
Darebin,60,0.04,3.5
East Gippsland,42,0.19,19.4
Frankston,48,0.06,5.7
Gannawarra,21,0.88,87.5
Glen Eira,12,0.01,0.6
Glenelg,25,0.28,28.4
Golden Plains,18,0.34,34
Greater Bendigo,163,0.22,22
Greater Dandenong,97,0.09,8.5
Greater Geelong,203,0.10,9.9
Greater Shepparton,121,0.33,32.8
Hepburn,10,0.18,18.2
Hindmarsh,12,0.86,85.7
Hobsons Bay,53,0.07,7.4
Horsham,79,0.50,49.7
Hume,309,0.23,22.6
Indigo,7,0.14,13.7
Kingston,13,0.01,1.1
Knox,20,0.03,2.6
Latrobe,188,0.40,40.3
Loddon,11,0.85,84.6
Macedon Ranges,4,0.03,2.5
Manningham,11,0.02,1.5
Mansfield,6,0.12,12
Maribyrnong,87,0.06,6
Maroondah,10,0.02,1.5
Melbourne,64,0.01,0.9
Melton,944,0.53,52.6
Merri-bek,69,0.03,3.1
Mildura,174,0.52,51.8
Mitchell,172,0.58,58.3
Moira,44,0.38,38.3
Monash,49,0.03,3
Moonee Valley,25,0.02,2
Moorabool,38,0.29,28.6
Mornington Penin'a,13,0.02,1.8
Mount Alexander,8,0.15,15.4
Moyne,14,0.30,30.4
Murrindindi,15,0.39,38.5
Nillumbik,41,0.17,16.9
Northern Grampians,42,0.72,72.4
Port Phillip,12,0.01,0.7
Pyrenees,7,0.64,63.6
Queenscliffe,0,0.00,0
South Gippsland,36,0.38,37.5
Southern Grampians,42,0.60,60
Stonnington,13,0.01,0.6
Strathbogie,9,0.18,17.6
Surf Coast,4,0.02,1.7
Swan Hill,44,0.52,51.8
Towong,11,0.50,50
Wangaratta,31,0.22,22.1
Warrnambool,23,0.11,11.1
Wellington,72,0.30,30.4
West Wimmera,7,0.88,87.5
Whitehorse,39,0.02,2.4
Whittlesea,195,0.16,16.1
Wodonga,37,0.11,11.4
Wyndham,1233,0.49,49.1
Yarra,23,0.01,1.3
Yarra Ranges,19,0.04,4.4
Yarriambiack,16,1.00,100
Table Total,"6,665",0.12,12
,,,0
Metro,"4,164",0.09,9
Non-Metro,"2,501",0.27,27.4
Table Total,"6,665",0.12,12