LGA,Year,Incidents Recorded,"Rate per 100,000 population",
Banyule,2022,"5,387",4264.2,$450
Brimbank,2022,"12,156",6248.0,$380
Darebin,2022,"9,321",6246.0,$420
Hobsons Bay,2022,"4,664",5088.8,$450
Hume,2022,"12,753",5066.2,$420
Maribyrnong,2022,"6,828",7859.5,$420
Melbourne,2022,"24,785",15980.9,$520
Melton,2022,"8,598",4500.0,$410
Merri-bek,2022,"9,270",5375.0,$430
Moonee Valley,2022,"5,818",4761.1,$440
Nillumbik,2022,"1,170",1859.1,$460
Whittlesea,2022,"8,929",3806.4,$420
Wyndham,2022,"13,316",4328.9,$410
Yarra,2022,"9,089",9862.7,$550
Total,2022,"132,084",5900.6,
Alpine,2022,349,2635.3,$420
Bass Coast,2022,"2,060",4912.7,$430
Baw Baw,2022,"2,867",4824.2,$435
Benalla,2022,945,6528.6,$400
Boroondara,2022,"5,589",3318.5,$480
East Gippsland,2022,"3,386",6893.4,$390
Greater Shepparton,2022,"5,626",8175.4,$390
Indigo,2022,566,3263.2,$400
Knox,2022,"6,431",4043.1,$470
Latrobe,2022,"7,806",10079.5,$360
Manningham,2022,"2,860",2292.9,$500
Mansfield,2022,276,2678.5,$480
Maroondah,2022,"5,249",4550.4,$450
Mitchell,2022,"2,490",4831.5,$400
Moira,2022,"1,474",4831.9,$350
Monash,2022,"8,726",4548.2,$490
Murrindindi,2022,535,3502.9,$370
South Gippsland,2022,"1,330",4338.1,$370
Strathbogie,2022,381,3304.3,$385
Towong,2022,130,2093.8,$340
Wangaratta,2022,"1,698",5668.3,$380
Wellington,2022,"3,062",6684.8,$385
Whitehorse,2022,"5,826",3413.3,$470
Wodonga,2022,"2,701",6157.7,$423
Yarra Ranges,2022,"4,751",3030.1,480
Total,2022,"77,114",4524.5,
Bayside,2022,"3,767",3729.6,$600
Cardinia,2022,"4,631",3772.3,$440
Casey,2022,"14,852",3939.8,$450
Frankston,2022,"9,180",6547.3,$440
Glen Eira,2022,"5,401",3614.7,$480
Greater Dandenong,2022,"12,649",7967.3,$395
Kingston,2022,"7,750",4900.2,$460
Mornington Peninsula,2022,"6,643",3887.0,$530
Port Phillip,2022,"9,533",9236.1,$475
Stonnington,2022,"8,450",8022.3,$480
Total,2022,"82,856",5221.8,
Ararat,2022,900,7592.9,$330
Ballarat,2022,"8,036",6936.3,$390
Buloke,2022,206,3368.2,$245
Campaspe,2022,"2,581",6667.2,$370
Central Goldfields,2022,802,5976.4,$320
Colac-Otway,2022,"1,102",4939.6,$398
Corangamite,2022,512,3209.3,$360
Gannawarra,2022,502,4717.1,$280
Glenelg,2022,"1,100",5483.3,$390
Golden Plains,2022,448,1763.6,$450
Greater Bendigo,2022,"7,537",6129.6,$415
Greater Geelong,2022,"14,419",5208.4,$450
Hepburn,2022,482,2897.8,$420
Hindmarsh,2022,199,3528.2,$250
Horsham,2022,"1,600",7850.2,$340
Loddon,2022,340,4406.9,$280
Macedon Ranges,2022,"1,471",2809.0,$500
Mildura,2022,"5,251",9209.1,$350
Moorabool,2022,"1,443",3718.7,$400
Mount Alexander,2022,670,3296.4,$425
Moyne,2022,458,2627.9,$400
Northern Grampians,2022,760,6384.2,$315
Pyrenees,2022,262,3415.5,$340
Queenscliffe,2022,90,2702.3,
Southern Grampians,2022,776,4719.4,$310
Surf Coast,2022,838,2137.0,$540
Swan Hill,2022,"1,489",7005.8,$320
Warrnambool,2022,"2,018",5657.0,$420
West Wimmera,2022,98,2489.3,$210
Yarriambiack,2022,304,4741.9,$250
Total,2022,"56,694",5337.0,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
